COMMON_NAME,SCIENTIFIC_NAME,obs
Glossy x White-faced Ibis (hybrid),Plegadis falcinellus x chihi,411
Common Goldeneye x Hooded Merganser (hybrid),Bucephala clangula x Lophodytes cucullatus,430
Mallard x Northern Pintail (hybrid),Anas platyrhynchos x acuta,440
Common x Barrow's Goldeneye (hybrid),Bucephala clangula x islandica,502
Bullock's x Baltimore Oriole (hybrid),Icterus bullockii x galbula,530
Gadwall x Mallard (hybrid),Mareca strepera x Anas platyrhynchos,536
Golden-winged x Blue-winged Warbler (hybrid),Vermivora chrysoptera x cyanoptera,538
Western x Clark's Grebe (hybrid),Aechmophorus occidentalis x clarkii,587
Townsend's x Hermit Warbler (hybrid),Setophaga townsendi x occidentalis,617
Graylag x Swan Goose (Domestic type) (hybrid),Anser anser x cygnoides (Domestic type),651
Lazuli x Indigo Bunting (hybrid),Passerina amoena x cyanea,697
Glaucous-winged x Glaucous Gull (hybrid),Larus glaucescens x hyperboreus,739
American x Black Oystercatcher (hybrid),Haematopus palliatus x bachmani,771
Snow x Canada Goose (hybrid),Anser caerulescens x Branta canadensis,775
Blue-winged x Cinnamon Teal (hybrid),Spatula discors x cyanoptera,964
Little Blue x Tricolored Heron (hybrid),Egretta caerulea x tricolor,975
Lawrence's Warbler (hybrid),Vermivora chrysoptera x cyanoptera (F2 backcr,976
Snow x Ross's Goose (hybrid),Anser caerulescens x rossii,1009
Herring x Glaucous Gull (hybrid),Larus argentatus x hyperboreus,1217
Graylag Goose (Domestic type) x Canada Goose ,Anser anser (Domestic type) x Branta canadens,1564
Red-naped x Red-breasted Sapsucker (hybrid),Sphyrapicus nuchalis x ruber,1724
Muscovy Duck x Mallard (hybrid),Cairina moschata x Anas platyrhynchos,1788
Brewster's Warbler (hybrid),Vermivora chrysoptera x cyanoptera (F1 hybrid,2365
Carolina x Black-capped Chickadee (hybrid),Poecile carolinensis x atricapillus,2386
Domestic goose sp. (Domestic type) x Canada G,Anser sp. (Domestic type) x Branta canadensis,2483
Eurasian x American Wigeon (hybrid),Mareca penelope x americana,2899
Mallard x Hawaiian Duck (hybrid),Anas platyrhynchos x wyvilliana,5381
Mallard x Mexican Duck (hybrid),Anas platyrhynchos x diazi,6223
Herring x Glaucous-winged Gull (hybrid),Larus argentatus x glaucescens,9150
Tufted x Black-crested Titmouse (hybrid),Baeolophus bicolor x atricristatus,19582
Mallard x Mottled Duck (hybrid),Anas platyrhynchos x fulvigula,21714
Mallard x American Black Duck (hybrid),Anas platyrhynchos x rubripes,32386
Western x Glaucous-winged Gull (hybrid),Larus occidentalis x glaucescens,80391
